name,latitude,longitude,google_id,attributes,popular_times
Seu del Districte de Nou Barris | Ajuntament de Barcelona,41.4368445525108,2.1712296246319656,ChIJW2yKcDy9pBIRn7vjVrGWhNw,"[""city_hall"", ""establishment"", ""local_government_office"", ""point_of_interest""]",
Eix Comercial Fabra Centre,41.44133560174434,2.176213867579158,ChIJp0N0US-9pBIRSbztC_Ecy3k,"[""establishment"", ""point_of_interest""]",
Font pública,41.40022209501887,2.1561312297043247,ChIJsULBIeCjpBIRmnI2i3It7-A,"[""establishment"", ""point_of_interest""]",
ESCOLA VEDRUNA GRÀCIA,41.40471777195005,2.151415793082498,ChIJ51kzoqOipBIRE05WUbMswys,"[""establishment"", ""point_of_interest"", ""school""]",
Facultat de Comunicació i Relacions Internacionals Blanquerna-URL,41.38353764764212,2.166272793410519,ChIJB9N41_SipBIRJpsOEe0vTR0,"[""establishment"", ""point_of_interest"", ""university""]",
Parròquia de la Mare de Déu de la Salut,41.420132063616215,2.151319417179658,ChIJ2w3ZnbqipBIR-IY7n6EW-4I,"[""church"", ""establishment"", ""place_of_worship"", ""point_of_interest""]",
Barnavasi,41.40545573179054,2.147638695309088,ChIJufkBJ6GipBIRkjreo-E2SI4,"[""establishment"", ""point_of_interest""]",
Plaça de les dones del 36,41.40454220831473,2.153654759838709,ChIJrzVvMwCjpBIRdbSnL801uDA,"[""establishment"", ""point_of_interest""]",
Spotify Camp Nou,41.380806951232216,2.1228764926605805,ChIJr3spdvWYpBIRuQQb_jBT9kQ,"[""establishment"", ""point_of_interest"", ""stadium"", ""tourist_attraction""]",
URL Facultat de Ciències de la Salut Blanquerna,41.409786505203634,2.1721184721407334,ChIJAWYKecWipBIRMcyRteTUE8Y,"[""establishment"", ""point_of_interest"", ""university""]",
Hospital de la Santa Creu i Sant Pau,41.41544108395991,2.1739598683555683,ChIJG5nxStCipBIRnEIur1sFwFg,"[""establishment"", ""health"", ""hospital"", ""point_of_interest""]",
Palau Robert,41.396132216710285,2.159531980047189,ChIJm6a6rJaipBIRTAPjktqx2ZQ,"[""establishment"", ""point_of_interest"", ""tourist_attraction""]",
Monument a les “Colles de Sant Medir”,41.40349932760185,2.152415836295016,ChIJYaZ_ORCjpBIRzoOrAv60t_Q,"[""establishment"", ""point_of_interest""]",
Palo Alto,41.40453754416711,2.210261414480815,ChIJxWGBhEOjpBIRXvc0VO0VvnI,"[""establishment"", ""point_of_interest""]",
Centre Cívic Guinardó,41.41607687588995,2.1733610333293782,ChIJHxCPFcyipBIRjo2t4u4dWiE,"[""establishment"", ""point_of_interest""]",
Putxet Sport,41.40972803896788,2.141295887779283,ChIJhw4BwwiYpBIRzAdRZIKjsSQ,"[""establishment"", ""gym"", ""health"", ""point_of_interest""]",
Vall d'Hebron University Hospital,41.42804943371883,2.1434499797388105,ChIJ3-xLF_2XpBIRdZjtdppRBQY,"[""doctor"", ""establishment"", ""health"", ""hospital"", ""point_of_interest""]",
Casa Erasme de Gònima,41.38013776152317,2.166732403540656,ChIJC02wm1-ipBIRlfcKh3gPRtY,"[""establishment"", ""lodging"", ""point_of_interest""]",
Real Club de Tennis Barcelona,41.39369047981739,2.118331914254848,ChIJcRoVJkWYpBIRFAK_wWUH8fI,"[""establishment"", ""point_of_interest""]",
Montserrat Abelló Public Library,41.38373133027636,2.135305845435044,ChIJqXxAK32YpBIRyMSCT5ySvms,"[""establishment"", ""library"", ""point_of_interest""]",
Platja del Bogatell,41.39460267821261,2.2067544978597606,ChIJibPmkGyjpBIRxPI0BvxiAjM,"[""establishment"", ""natural_feature""]",
Congregació de l'Oratori de Sant Felip Neri,41.40200153642768,2.1556884231723643,ChIJv4WVRr2ipBIRGunzOiJX1bg,"[""church"", ""establishment"", ""place_of_worship"", ""point_of_interest""]",
Sant Andreu Cemetery,41.437412139312414,2.1790301618213404,ChIJRVDC8SO9pBIRJGYMQ2cNPAw,"[""cemetery"", ""establishment"", ""point_of_interest""]",
